"ViewName","ViewLanguage","ColumnName","TotalRows","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression"
"DéfinitionsDePriorités","FR","NomService","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","DepartmentName","src.[DepartmentName]"
"DéfinitionsDePriorités","FR","TauxCohérence","0","MAPPED","pjrep","MSP_EpmPrioritization_UserView","ConsistencyRatio","src.[ConsistencyRatio]"
"Deliverables","EN","CreateByResource","0","MAPPED","pjrep","MSP_WssDeliverable","CreateByResource","src.[CreateByResource]"
"Deliverables","EN","CreatedDate","0","MAPPED","pjrep","MSP_WssDeliverable","CreatedDate","src.[CreatedDate]"
"Deliverables","EN","DeliverableId","0","MAPPED","pjrep","MSP_WssDeliverable","DeliverableID","src.[DeliverableID]"
"Deliverables","EN","Description","0","MAPPED","pjrep","MSP_WssDeliverable","Description","src.[Description]"
"Deliverables","EN","FinishDate","0","MAPPED","pjrep","MSP_WssDeliverable","FinishDate","src.[FinishDate]"
"Deliverables","EN","IsFolder","0","MAPPED","pjrep","MSP_WssDeliverable","IsFolder","src.[IsFolder]"
"Deliverables","EN","ItemRelativeUrlPath","0","MAPPED","pjrep","MSP_WssDeliverable","ItemRelativeUrlPath","src.[ItemRelativeUrlPath]"
"Deliverables","EN","ModifiedByResource","0","MAPPED","pjrep","MSP_WssDeliverable","ModifiedByResource","src.[ModifiedByResource]"
"Deliverables","EN","ModifiedDate","0","MAPPED","pjrep","MSP_WssDeliverable","ModifiedDate","src.[ModifiedDate]"
"Deliverables","EN","ProjectId","0","MAPPED","pjrep","MSP_WssDeliverable","ProjectUID","src.[ProjectUID]"
"Deliverables","EN","ProjectName","0","MAPPED","pjrep","MSP_EpmEngagements_UserView","ProjectName","jProject.[ProjectName]"
"Deliverables","EN","StartDate","0","MAPPED","pjrep","MSP_WssDeliverable","StartDate","src.[StartDate]"
"Deliverables","EN","Title","0","MAPPED","pjrep","MSP_WssDeliverable","Title","src.[Title]"
"Engagements","EN","CommittedFinishDate","0","MAPPED","pjrep","MSP_EpmEngagements_UserView","CommittedFinishDate","src.[CommittedFinishDate]"
"Engagements","EN","CommittedMaxUnits","0","MAPPED","pjrep","MSP_EpmEngagements_UserView","CommittedMaxUnits","src.[CommittedMaxUnits]"
"Engagements","EN","CommittedStartDate","0","MAPPED","pjrep","MSP_EpmEngagements_UserView","CommittedStartDate","src.[CommittedStartDate]"
"Engagements","EN","CommittedWork","0","MAPPED","pjrep","MSP_EpmEngagements_UserView","CommittedWork","src.[CommittedWork]"
"Engagements","EN","EngagementCreatedDate","0","MAPPED","pjrep","MSP_EpmEngagements_UserView","CreatedDate","src.[CreatedDate]"
